"bd_observer1","bd_observer2"
7,24.5
9,16
10,16
11,17
20,25
18,22
8,12
23,27
19,22
16,19
12,15
24,27
35,38
16,19
36,39
18,20
15,17
12,14
23,25
15,17
19,21
12,14
17,18
16,17
24,25
21,22
21,22
9,10
9,10
14,15
15,16
9,10
7,8
27,27
22,22
20,20
14,14
21,21
16,16
15,15
12,12
11,11
25,25
21,21
24,24
15,15
11,11
25,25
21,21
17,17
21,21
16,15.5
21,20
27,26
7,6
18,17
17,16
17,16
14,13
13,12
17,16
13,12
11,10
9,8
7,6
11,10
8,7
7,6
18,17
27,25.5
18,16.5
19,17
25,23
32,30
22,20
16,14
15,13
8,6
8,6
7,5
14,12
18,16
22,20
17,14
14,11
16,12
22,18
16,12
27,23
20,15
25,19
18,18.5
33,23
24,11
34,34
14.5,14
29,30
14,15
20,24
12,10
11,10
13.5,14
15,15
12,10
7,6
17,15
