"stem","soma","bd"
1,426.63,34
2,90.62,18
3,175.17,20
4,199.5,20
5,24.93,10.5
6,212.28,23
7,162.08,19
8,126.39,20
9,67.57,16
10,20.03,9
13,312.29,29
14,349.95,28
15,24.74,10
16,34.65,11
17,8.63,7
18,13.29,8
19,96.31,14.5
20,173,21
21,22.29,11
22,106.22,17.5
23,19.12,8
24,34.61,10
25,59.6,16
26,213.47,21.5
27,31.2,11
28,18,9
29,102.09,15
32,24,9
33,21.56,9
34,9.07,6.5
36,267.34,29
40,376.1,23
43,131.31,16.5
44,14.5,9
45,67.56,13
46,105.74,15.5
47,21.58,9
49,36.53,11
50,36.43,13
51,17.01,8
52,48.44,12.5
53,16.55,9
