"month","habitat","temp.m","temp.sd","RH.m","RH.sd"
6,0,14.26125,4.95930519977508,64.88875,19.9344442951099
6,1,13.99025,5.26921464858099,63.819,20.3702286280487
7,0,23.4115322580645,3.91251588622034,38.5225,12.7266151322171
7,1,25.9498378378378,5.67845790797915,28.9584864864865,14.4640699471469
8,0,21.8825,3.22957537670529,44.8049193548387,16.1858787945285
8,1,24.3922580645161,5.09332592002881,33.1727419354839,18.5880657879847
9,0,19.92825,3.60722236828917,40.4045833333333,17.4955031867535
9,1,23.0285555555556,5.4899488780905,27.8175,15.0603685723927
10,0,11.3422222222222,3.7644548921352,67.3916666666667,22.2164594710447
10,1,11.9274468085106,4.0095979783759,57.7489361702128,23.3268912960839
